DateTime;Parking Granollers Renfe plazas totales
11/01/2020 21:30;166,4075033
11/01/2020 22:00;166,8187744
11/01/2020 22:30;167,5018122
11/01/2020 23:00;168
11/01/2020 23:30;168
12/01/2020 0:00;168,4952333
12/01/2020 0:30;169,4832867
12/01/2020 1:00;170
12/01/2020 1:30;170
12/01/2020 2:00;170
12/01/2020 2:30;170
12/01/2020 3:00;170
12/01/2020 3:30;170
12/01/2020 4:00;170
12/01/2020 4:30;170
12/01/2020 5:00;169,7888022
12/01/2020 5:30;168,567395
12/01/2020 6:00;168
12/01/2020 6:30;168
12/01/2020 7:00;167,4087344
12/01/2020 7:30;166,0375844
12/01/2020 8:00;164,6209672
12/01/2020 8:30;164
12/01/2020 9:00;164
12/01/2020 9:30;163,9792228
12/01/2020 10:00;163
12/01/2020 10:30;162,673695
12/01/2020 11:00;162
12/01/2020 11:30;162
12/01/2020 12:00;162
12/01/2020 12:30;162
12/01/2020 13:00;162
12/01/2020 13:30;162
12/01/2020 14:00;161,8006189
12/01/2020 14:30;161
12/01/2020 15:00;160,9439944
12/01/2020 15:30;161
12/01/2020 16:00;161
12/01/2020 16:30;161,4758433
12/01/2020 17:00;162
12/01/2020 17:30;162,7681733
12/01/2020 18:00;163
12/01/2020 18:30;163,5217961
12/01/2020 19:00;163,8533833
12/01/2020 19:30;164
12/01/2020 20:00;164
12/01/2020 20:30;164
12/01/2020 21:00;163,5625456
12/01/2020 21:30;164
12/01/2020 22:00;164
12/01/2020 22:30;164
12/01/2020 23:00;164
12/01/2020 23:30;164
13/01/2020 0:00;164
13/01/2020 0:30;164
13/01/2020 1:00;164
13/01/2020 1:30;164
13/01/2020 2:00;164
13/01/2020 2:30;164
13/01/2020 3:00;164
13/01/2020 3:30;164
13/01/2020 4:00;164
13/01/2020 4:30;163,8427928
13/01/2020 5:00;163
13/01/2020 5:30;161,2939789
13/01/2020 6:00;157,5760222
13/01/2020 6:30;142,7687644
13/01/2020 7:00;134,9387361
13/01/2020 7:30;102,5990511
13/01/2020 8:00;82,60165222
13/01/2020 8:30;68,55474556
13/01/2020 9:00;58,92754556
13/01/2020 9:30;52,15034833
13/01/2020 10:00;49,69717389
13/01/2020 10:30;48,17113167
13/01/2020 11:00;46
13/01/2020 11:30;46,03366667
13/01/2020 12:00;46,93736222
13/01/2020 12:30;46,60541556
13/01/2020 13:00;45,692925
13/01/2020 13:30;44,07917444
13/01/2020 14:00;44,55582111
13/01/2020 14:30;44,10904722
13/01/2020 15:00;43,94548333
13/01/2020 15:30;52,67615667
13/01/2020 16:00;66,62333889
13/01/2020 16:30;73,43458389
13/01/2020 17:00;79,95736667
13/01/2020 17:30;83,42184833
13/01/2020 18:00;100,0369511
13/01/2020 18:30;109,4093083
13/01/2020 19:00;116,08024
13/01/2020 19:30;124,7113178
13/01/2020 20:00;137,596815
13/01/2020 20:30;148,3183289
13/01/2020 21:00;154,8385711
13/01/2020 21:30;159,3804172
13/01/2020 22:00;164,2167467
13/01/2020 22:30;164,3405667
13/01/2020 23:00;165,2408856
13/01/2020 23:30;166
14/01/2020 0:00;166
14/01/2020 0:30;166
14/01/2020 1:00;166
14/01/2020 1:30;166
14/01/2020 2:00;166
14/01/2020 2:30;166
14/01/2020 3:00;166
14/01/2020 3:30;166
14/01/2020 4:00;166
14/01/2020 4:30;165,9543294
14/01/2020 5:00;164,3027117
14/01/2020 5:30;162,8179439
14/01/2020 6:00;156,2164161
14/01/2020 6:30;142,7200367
14/01/2020 7:00;116,2175494
14/01/2020 7:30;86,36827556
14/01/2020 8:00;65,62792
14/01/2020 8:30;55,41005611
14/01/2020 9:00;48,25369944
14/01/2020 9:30;47,339995
14/01/2020 10:00;47,89944346
14/01/2020 10:30;47,91985391
14/01/2020 11:00;47,92237424
14/01/2020 11:30;45,42607587
14/01/2020 12:00;42,77383635
14/01/2020 12:30;40,10796564
14/01/2020 13:00;35,34315789
14/01/2020 13:30;34,51285322
14/01/2020 14:00;36,61740023
14/01/2020 14:30;39,24124535
14/01/2020 15:00;40,11653258
14/01/2020 15:30;45,71487065
14/01/2020 16:00;58,50738808
14/01/2020 16:30;63,76905248
14/01/2020 17:00;67,3007713
14/01/2020 17:30;71,94331985
14/01/2020 18:00;88,62698695
14/01/2020 18:30;99,37501445
14/01/2020 19:00;112,2246079
14/01/2020 19:30;122,200813
14/01/2020 20:00;129,3083485
14/01/2020 20:30;136,0600621
14/01/2020 21:00;146,5412419
14/01/2020 21:30;157,0248585
14/01/2020 22:00;163,7633697
14/01/2020 22:30;165,1236863
14/01/2020 23:00;166,1792174
14/01/2020 23:30;166,5152
15/01/2020 0:00;166,5152
15/01/2020 0:30;166,5152
15/01/2020 1:00;166,5152
15/01/2020 1:30;166,5152
15/01/2020 2:00;166,5152
15/01/2020 2:30;166,5152
15/01/2020 3:00;166,5152
15/01/2020 3:30;166,5152
15/01/2020 4:00;166,5152
15/01/2020 4:30;166,4785025
15/01/2020 5:00;165,518
15/01/2020 5:30;163,908999
15/01/2020 6:00;156,4977648
15/01/2020 6:30;140,751879
15/01/2020 7:00;115,5806229
15/01/2020 7:30;85,51425935
15/01/2020 8:00;64,34432884
15/01/2020 8:30;52,10140655
15/01/2020 9:00;44,14150369
15/01/2020 9:30;41,95918523
15/01/2020 10:00;40,5814382
15/01/2020 10:30;38,93196968
15/01/2020 11:00;38,16166592
15/01/2020 11:30;36,65710773
15/01/2020 12:00;35,73059868
15/01/2020 12:30;35,93916795
15/01/2020 13:00;36,40588918
15/01/2020 13:30;34,65412719
15/01/2020 14:00;36,47151559
15/01/2020 14:30;37,72659098
15/01/2020 15:00;38,59355822
15/01/2020 15:30;47,37532496
15/01/2020 16:00;61,05436336
15/01/2020 16:30;68,6512326
15/01/2020 17:00;73,69620475
15/01/2020 17:30;80,72130787
15/01/2020 18:00;92,61037367
15/01/2020 18:30;102,0245244
15/01/2020 19:00;109,8578299
15/01/2020 19:30;120,5013271
15/01/2020 20:00;136,0072886
15/01/2020 20:30;148,0848202
15/01/2020 21:00;154,7158544
15/01/2020 21:30;160,940744
15/01/2020 22:00;165,4881175
15/01/2020 22:30;166,8845222
15/01/2020 23:00;167,448
15/01/2020 23:30;167,448
16/01/2020 0:00;167,448
16/01/2020 0:30;167,0232305
16/01/2020 1:00;166,4508
16/01/2020 1:30;166,4508
16/01/2020 2:00;166,4508
16/01/2020 2:30;166,4508
16/01/2020 3:00;166,4508
16/01/2020 3:30;166,4508
16/01/2020 4:00;166,4508
16/01/2020 4:30;166,197248
16/01/2020 5:00;165,4536
16/01/2020 5:30;163,6193686
16/01/2020 6:00;157,8131522
16/01/2020 6:30;139,2886308
16/01/2020 7:00;116,6513725
16/01/2020 7:30;83,89666293
