DateTime;Parking Prat del Ll. plazas totales
09/01/2020 10:00;225,4760544
09/01/2020 10:30;161,1657172
09/01/2020 11:00;156,9466483
09/01/2020 11:30;155,6591167
09/01/2020 12:00;163,0854672
09/01/2020 12:30;165,8268706
09/01/2020 13:00;166,8729489
09/01/2020 13:30;163,1463533
09/01/2020 14:00;171,43938
09/01/2020 14:30;185,0915444
09/01/2020 15:00;190,6950861
09/01/2020 15:30;199,1260344
09/01/2020 16:00;209,2758372
09/01/2020 16:30;208,7324628
09/01/2020 17:00;211,8845261
09/01/2020 17:30;218,6217822
09/01/2020 18:00;225,0026928
09/01/2020 18:30;237,0779694
09/01/2020 19:00;263,3224994
09/01/2020 19:30;283,7775972
09/01/2020 20:00;300,6047478
09/01/2020 20:30;306,9394444
09/01/2020 21:00;314,5516194
09/01/2020 21:30;328,1124111
09/01/2020 22:00;331,8695939
09/01/2020 22:30;333,2061839
09/01/2020 23:00;337,4018028
09/01/2020 23:30;339,4765794
10/01/2020 0:00;343,7626506
10/01/2020 0:30;344,73958
10/01/2020 1:00;345
10/01/2020 1:30;344,1359928
10/01/2020 2:00;346,2910072
10/01/2020 2:30;348,1065711
10/01/2020 3:00;348,9409878
10/01/2020 3:30;348,6946206
10/01/2020 4:00;348,884235
10/01/2020 4:30;341,8581594
10/01/2020 5:00;336,1839522
10/01/2020 5:30;329,7134006
10/01/2020 6:00;322,8322644
10/01/2020 6:30;315,7816478
10/01/2020 7:00;294,1206194
10/01/2020 7:30;279,6296933
10/01/2020 8:00;255,1416017
10/01/2020 8:30;230,4965806
10/01/2020 9:00;214,529105
10/01/2020 9:30;204,8029378
10/01/2020 10:00;202,3177917
10/01/2020 10:30;199,6753939
10/01/2020 11:00;199,2089378
10/01/2020 11:30;195,0865767
10/01/2020 12:00;197,9613417
10/01/2020 12:30;205,3205744
10/01/2020 13:00;204,8478794
10/01/2020 13:30;208,5365039
10/01/2020 14:00;212,7232283
10/01/2020 14:30;222,6166683
10/01/2020 15:00;229,1155417
10/01/2020 15:30;236,2684667
10/01/2020 16:00;253,3438067
10/01/2020 16:30;257,3015167
10/01/2020 17:00;269,0551322
10/01/2020 17:30;278,9118861
10/01/2020 18:00;296,4375767
10/01/2020 18:30;312,5315822
10/01/2020 19:00;323,0701994
10/01/2020 19:30;324,3636939
10/01/2020 20:00;332,1793206
10/01/2020 20:30;339,5421022
10/01/2020 21:00;349,031445
10/01/2020 21:30;351,9141494
10/01/2020 22:00;354,0438017
10/01/2020 22:30;355,0973939
10/01/2020 23:00;361,252345
10/01/2020 23:30;366,1017594
11/01/2020 0:00;368,4687761
11/01/2020 0:30;369,1318772
11/01/2020 1:00;371,3594122
11/01/2020 1:30;370,4058839
11/01/2020 2:00;369,7597944
11/01/2020 2:30;369,3998411
11/01/2020 3:00;371,9462822
11/01/2020 3:30;374,6074922
11/01/2020 4:00;376,83554
11/01/2020 4:30;374,99992
11/01/2020 5:00;371,1775206
11/01/2020 5:30;367,18813
11/01/2020 6:00;360,96464
11/01/2020 6:30;358,8213628
11/01/2020 7:00;355,9782394
11/01/2020 7:30;352,5615944
11/01/2020 8:00;343,810165
11/01/2020 8:30;346,3556689
11/01/2020 9:00;342,1585878
11/01/2020 9:30;336,3407672
11/01/2020 10:00;336,834575
11/01/2020 10:30;336,7512533
11/01/2020 11:00;334,80726
11/01/2020 11:30;329,8325661
11/01/2020 12:00;325,0698789
11/01/2020 12:30;329,6738728
11/01/2020 13:00;340,1689622
11/01/2020 13:30;343,4011856
11/01/2020 14:00;346,433375
11/01/2020 14:30;344,8668439
11/01/2020 15:00;355,2796294
11/01/2020 15:30;360,2361411
11/01/2020 16:00;360,1216106
11/01/2020 16:30;356,4609256
11/01/2020 17:00;352,1678139
11/01/2020 17:30;347,4397889
11/01/2020 18:00;344,8824239
11/01/2020 18:30;345,9757717
11/01/2020 19:00;347,4433106
11/01/2020 19:30;355,3998611
11/01/2020 20:00;364,1001478
11/01/2020 20:30;370,3957606
11/01/2020 21:00;376,0652456
11/01/2020 21:30;379,4595411
11/01/2020 22:00;381,815215
11/01/2020 22:30;386,5257661
11/01/2020 23:00;386,098345
11/01/2020 23:30;389,6181128
12/01/2020 0:00;391,8758839
12/01/2020 0:30;394,990315
12/01/2020 1:00;396,3507533
12/01/2020 1:30;398,3372978
12/01/2020 2:00;399
12/01/2020 2:30;399,0436506
12/01/2020 3:00;399,8748628
12/01/2020 3:30;400
12/01/2020 4:00;399,4406128
12/01/2020 4:30;396,1662478
12/01/2020 5:00;395,0791989
12/01/2020 5:30;393,6387061
12/01/2020 6:00;392,175645
12/01/2020 6:30;390,1933889
12/01/2020 7:00;389,2111489
12/01/2020 7:30;388,6501589
12/01/2020 8:00;388,013585
12/01/2020 8:30;386,5933328
12/01/2020 9:00;389,1725383
12/01/2020 9:30;386,4586817
12/01/2020 10:00;385,4393
12/01/2020 10:30;384,228005
12/01/2020 11:00;382,47936
12/01/2020 11:30;380,801335
12/01/2020 12:00;379,3157939
12/01/2020 12:30;384,50426
12/01/2020 13:00;383,7605589
12/01/2020 13:30;384,0905517
12/01/2020 14:00;390,3022678
12/01/2020 14:30;395,8388611
12/01/2020 15:00;399,4206267
12/01/2020 15:30;401,4304372
12/01/2020 16:00;400,5468456
12/01/2020 16:30;398,3894844
12/01/2020 17:00;398,2372972
12/01/2020 17:30;398,1125011
12/01/2020 18:00;400,2956444
12/01/2020 18:30;400,9199006
12/01/2020 19:00;401,5803444
12/01/2020 19:30;402,0599894
12/01/2020 20:00;406,3877444
12/01/2020 20:30;406,5430711
12/01/2020 21:00;411,325495
12/01/2020 21:30;418,0029194
12/01/2020 22:00;424,2281522
12/01/2020 22:30;427,5828094
12/01/2020 23:00;429,2267478
12/01/2020 23:30;434,9942333
13/01/2020 0:00;439,341305
13/01/2020 0:30;442,3154
13/01/2020 1:00;444,275035
13/01/2020 1:30;446,1272828
