DateTime;Parking Vilanova Renfe plazas totales
05/01/2020 23:00;393,7766195
05/01/2020 23:30;398,9843892
06/01/2020 0:00;400,6893277
06/01/2020 0:30;403,6256087
06/01/2020 1:00;407,078
06/01/2020 1:30;407,078
06/01/2020 2:00;407,078
06/01/2020 2:30;407,078
06/01/2020 3:00;407,078
06/01/2020 3:30;407,078
06/01/2020 4:00;406,9166619
06/01/2020 4:30;403,9986284
06/01/2020 5:00;402,7786595
06/01/2020 5:30;402,8716
06/01/2020 6:00;402,3337821
06/01/2020 6:30;401,3112414
06/01/2020 7:00;401,1808435
06/01/2020 7:30;402,152714
06/01/2020 8:00;402,025362
06/01/2020 8:30;400,9637771
06/01/2020 9:00;403,7859955
06/01/2020 9:30;403,7183955
06/01/2020 10:00;402,0642848
06/01/2020 10:30;402,2851784
06/01/2020 11:00;403,7336162
06/01/2020 11:30;403,16755
06/01/2020 12:00;399,2936885
06/01/2020 12:30;397,0774495
06/01/2020 13:00;397,0878842
06/01/2020 13:30;395,7178749
06/01/2020 14:00;397,1025994
06/01/2020 14:30;399,1220813
06/01/2020 15:00;401,8880919
06/01/2020 15:30;401,2180711
06/01/2020 16:00;399,5176649
06/01/2020 16:30;399,2705654
06/01/2020 17:00;398,5918669
06/01/2020 17:30;399,5457914
06/01/2020 18:00;401,3077815
06/01/2020 18:30;401,3924
06/01/2020 19:00;401,2511638
06/01/2020 19:30;401,6383653
06/01/2020 20:00;401,6736142
06/01/2020 20:30;403,6734209
06/01/2020 21:00;403,4780468
06/01/2020 21:30;404,9988858
06/01/2020 22:00;406,2802839
06/01/2020 22:30;408,039979
06/01/2020 23:00;408,0835281
06/01/2020 23:30;408,9446824
07/01/2020 0:00;408,4563886
07/01/2020 0:30;409,9920138
07/01/2020 1:00;412,6291368
07/01/2020 1:30;412,5622489
07/01/2020 2:00;412,6012
07/01/2020 2:30;412,6012
07/01/2020 3:00;411,6854403
07/01/2020 3:30;411,584
07/01/2020 4:00;410,5061494
07/01/2020 4:30;398,8368815
07/01/2020 5:00;397,7210526
07/01/2020 5:30;390,3994822
07/01/2020 6:00;380,5932674
07/01/2020 6:30;354,3486407
07/01/2020 7:00;323,1290454
07/01/2020 7:30;303,606106
07/01/2020 8:00;283,7505019
07/01/2020 8:30;274,6613928
07/01/2020 9:00;268,6310251
07/01/2020 9:30;262,7944122
07/01/2020 10:00;259,0056516
07/01/2020 10:30;254,0496126
07/01/2020 11:00;253,7252539
07/01/2020 11:30;251,1519023
07/01/2020 12:00;247,7866746
07/01/2020 12:30;248,390856
07/01/2020 13:00;248,8811993
07/01/2020 13:30;251,1885836
07/01/2020 14:00;260,4412189
07/01/2020 14:30;269,5912073
07/01/2020 15:00;277,3676661
07/01/2020 15:30;279,7861951
07/01/2020 16:00;287,2410248
07/01/2020 16:30;297,8734283
07/01/2020 17:00;301,0247741
07/01/2020 17:30;302,047127
07/01/2020 18:00;315,5756123
07/01/2020 18:30;327,8739656
07/01/2020 19:00;341,3081305
07/01/2020 19:30;356,8273444
07/01/2020 20:00;372,6789582
07/01/2020 20:30;383,316695
07/01/2020 21:00;395,5824723
07/01/2020 21:30;398,826332
07/01/2020 22:00;402,3740756
07/01/2020 22:30;406,3583718
07/01/2020 23:00;408,6823017
07/01/2020 23:30;410,3304
08/01/2020 0:00;410,1375758
08/01/2020 0:30;411,9524646
08/01/2020 1:00;415,5933046
08/01/2020 1:30;416,1928
08/01/2020 2:00;416,1928
08/01/2020 2:30;416,1204218
08/01/2020 3:00;416,1584
08/01/2020 3:30;415,1649414
08/01/2020 4:00;413,629903
08/01/2020 4:30;402,0866982
08/01/2020 5:00;400,5336119
08/01/2020 5:30;393,5420303
08/01/2020 6:00;380,8566764
08/01/2020 6:30;351,2161229
08/01/2020 7:00;317,2590461
08/01/2020 7:30;291,1720394
08/01/2020 8:00;263,824671
08/01/2020 8:30;247,258328
08/01/2020 9:00;240,7145137
08/01/2020 9:30;234,0301762
08/01/2020 10:00;229,4020157
08/01/2020 10:30;227,9352481
08/01/2020 11:00;226,8825309
08/01/2020 11:30;222,6670916
08/01/2020 12:00;218,2942586
08/01/2020 12:30;220,014439
08/01/2020 13:00;220,9939793
08/01/2020 13:30;223,3983754
08/01/2020 14:00;230,9343816
08/01/2020 14:30;238,5667392
08/01/2020 15:00;247,5996011
08/01/2020 15:30;260,9562119
08/01/2020 16:00;274,4122666
08/01/2020 16:30;282,1743462
08/01/2020 17:00;282,0675607
08/01/2020 17:30;285,8218552
08/01/2020 18:00;297,1885489
08/01/2020 18:30;306,1025041
08/01/2020 19:00;317,4538968
08/01/2020 19:30;343,0112072
08/01/2020 20:00;367,7658179
08/01/2020 20:30;380,5670502
08/01/2020 21:00;392,0574004
08/01/2020 21:30;395,9892441
08/01/2020 22:00;400,5291827
08/01/2020 22:30;405,845187
08/01/2020 23:00;409,2415766
08/01/2020 23:30;413,3360429
09/01/2020 0:00;415,4996706
09/01/2020 0:30;417,1681084
09/01/2020 1:00;418,4842442
09/01/2020 1:30;419,0128
09/01/2020 2:00;419,285337
09/01/2020 2:30;419,9956
09/01/2020 3:00;419,9956
09/01/2020 3:30;419,9956
09/01/2020 4:00;418,8843683
09/01/2020 4:30;407,8997398
09/01/2020 5:00;404,9574261
09/01/2020 5:30;397,1000764
09/01/2020 6:00;382,8403691
09/01/2020 6:30;354,8345048
09/01/2020 7:00;317,8604253
09/01/2020 7:30;297,8113004
09/01/2020 8:00;265,138635
09/01/2020 8:30;249,0912376
09/01/2020 9:00;241,6275112
09/01/2020 9:30;235,7155258
09/01/2020 10:00;229,5623679
09/01/2020 10:30;225,1676746
09/01/2020 11:00;227,7260536
09/01/2020 11:30;226,7985419
09/01/2020 12:00;226,1055808
09/01/2020 12:30;223,3859876
09/01/2020 13:00;221,3968951
09/01/2020 13:30;222,5100334
09/01/2020 14:00;236,0760359
09/01/2020 14:30;240,9991582
09/01/2020 15:00;244,9391956
09/01/2020 15:30;253,3154397
09/01/2020 16:00;269,0873059
09/01/2020 16:30;279,5098589
09/01/2020 17:00;283,9955956
09/01/2020 17:30;290,8030311
09/01/2020 18:00;298,8194875
09/01/2020 18:30;306,1327943
09/01/2020 19:00;324,2969673
09/01/2020 19:30;341,4518959
09/01/2020 20:00;357,3221822
09/01/2020 20:30;366,9916121
09/01/2020 21:00;376,9516609
09/01/2020 21:30;380,7955327
09/01/2020 22:00;385,5653832
09/01/2020 22:30;392,1229391
09/01/2020 23:00;394,951811
09/01/2020 23:30;399,6863124
10/01/2020 0:00;401,1034592
10/01/2020 0:30;404,3788941
10/01/2020 1:00;408,9809064
10/01/2020 1:30;409,1252
10/01/2020 2:00;409,1252
10/01/2020 2:30;409,080038
10/01/2020 3:00;409,0908
10/01/2020 3:30;409,0908
10/01/2020 4:00;408,5876528
